attraction_id,name,location,description,opening_hours,category,price
236,Garlic Herb Cream Cheese,Eagan,Spreadable cream cheese blended with garlic and herbs.,12:18 PM,Food - Dairy,2.99
237,Nutty Trail Mix,Forster,"A blend of nuts, seeds, and dried fruits for snacking.",8:44 AM,Food - Snacks,4.29
238,BBQ Jackfruit,Elgar,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative.",4:55 PM,Food - Prepared Foods,4.29
239,Maple Pecan Oatmeal Cookies,Thackeray,Soft oatmeal cookies with maple and pecans.,4:26 AM,Food - Bakery,3.99
240,Tea Infuser Bottle,Toban,Bottle with infuser for brewing loose-leaf tea on the go.,4:17 AM,Kitchen,19.99
241,Vacuum Sealer Machine,Oakridge,Seal food and maintain freshness longer.,1:46 PM,Kitchen,89.99
242,Sun-Dried Tomato Pesto,Boyd,A rich pesto made with sun-dried tomatoes and pine nuts.,2:05 PM,Food - Condiments,4.49
243,Children's Garden Tool Set,Mcbride,Colorful and child-friendly gardening tools for little hands.,12:08 AM,Garden,22.99
244,Smartphone Camera Lens Kit,Acker,Upgrade your phone photography with this lens kit that includes wide-angle and macro lenses.,11:41 AM,Photography,19.99
245,Tomato Basil Soup,Roxbury,"A classic soup combining tomatoes and basil, great with grilled cheese sandwiches.",5:34 PM,Food - Canned Goods,3.49
246,Honey Garlic Chicken,Pond,Tender chicken coated in a sweet and savory honey garlic sauce.,10:55 AM,Food - Meat,8.49
247,Memory Foam Mattress Pad,Birchwood,Extra layer of comfort for your mattress.,7:03 PM,Home,69.99
248,Garlic Butter Shrimp,Grim,"Frozen shrimp sautéed in garlic butter, ready to thaw and serve over pasta or rice.",8:32 AM,Food - Seafood,8.99
249,Popcorn Chicken,Russell,"Crispy chicken bites, perfect for dipping.",4:34 PM,Food - Frozen,6.49
250,Memory Foam Pillow,Lunder,Ergonomic memory foam pillow for better sleep.,2:41 AM,Home,39.99
251,Basic V-Neck T-Shirt,Mayer,A staple v-neck t-shirt that pairs well with anything.,8:31 AM,Clothing - Tops,19.99
252,Compact Dishwasher,Fallview,Countertop dishwasher for small kitchens.,10:34 PM,Home Appliances,299.99
253,Cinnamon Roll Dough,Anderson,Ready-to-bake cinnamon roll dough for easy breakfasts.,11:16 PM,Food - Bakery,4.49
254,Chipotle Seasoning Blend,Valley Edge,A smoky blend of spices for grilling and roasting.,10:11 AM,Food - Spices,2.49
255,Coconut Chia Seed Pudding,Eastwood,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",2:03 PM,Food - Snacks,2.99
256,Classic Black Dress,Corry,A versatile black dress that can be styled for any occasion.,10:08 AM,Clothing - Dresses,79.99
257,Cheddar & Bacon Potato Skins,Acker,Gourmet potato skins loaded with cheddar cheese and bacon.,10:34 PM,Food - Frozen,7.49
258,Ceramic Cookware Set,Warrior,Durable and non-stick ceramic cookware for healthy cooking.,11:06 AM,Kitchen,179.99
259,Indestructible Dog Toy,Holmberg,Durable toy designed for heavy chewers.,11:17 AM,Pets,15.99
260,Spicy Tuna Salad,Division,"Ready-to-eat tuna salad with a spicy kick, perfect for sandwiches.",3:18 AM,Food - Seafood,4.49
261,Magic Color-Changing Mug,Caliangt,Heat-sensitive mug that changes color when filled with hot liquid.,12:40 AM,Kitchen,14.99
262,Buffalo Sauce,Rusk,Spicy buffalo sauce ideal for wings or dipping.,12:27 PM,Food - Condiments,2.99
263,Smartwatch,Vera,Stylish smartwatch with fitness tracking features.,9:03 PM,Wearable Tech,199.99
264,Winter Insulated Jacket,Brentwood,Warm and stylish jacket for cold weather.,12:28 PM,Clothing,89.99
265,Pumpkin Spice Cookies,Crowley,Delicious cookies flavored with pumpkin and spices.,12:36 PM,Food - Bakery,3.29
266,Travel Luggage Scale,Ridge Oak,Digital scale to avoid overweight baggage fees.,11:00 PM,Travel,14.99
267,Tropical Fruit Bowl,Farmco,A mix of tropical fruits for a refreshing snack or dessert.,8:18 PM,Food - Snacks,4.99
268,Chewy Granola Bars,Duke,Oats and honey bars with a chewy texture and nutty flavor.,6:36 AM,Food - Snacks,3.49
269,Underwater Camera,Wayridge,Waterproof camera for capturing underwater adventures.,10:58 AM,Photography,199.99
270,Key Finder,Montana,Bluetooth-enabled key tracker to find lost items easily.,1:05 AM,Accessories,19.99
271,Honey Butter Popcorn,Mitchell,Light and fluffy popcorn coated in sweet honey butter.,10:22 AM,Food - Snacks,2.99
272,Insulated Cooler,Fallview,Leak-proof cooler bag ideal for picnics and camping.,9:06 AM,Outdoor,39.99
273,Chocolate Raspberry Tart,Columbus,"Rich tart filled with chocolate and raspberry, a gourmet dessert.",12:57 PM,Food - Bakery,9.99
274,Raspberry Lemonade Mix,Cody,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer.",9:10 PM,Food - Beverages,3.99
275,Herb Garlic Butter,Susan,"A flavorful garlic butter blend, perfect for cooking or baking.",12:28 AM,Food - Condiments,3.99
276,Savory Pumpkin Soup,Village,Creamy pumpkin soup with spices,2:37 AM,Food - Soups,3.89
277,Electric Stool Heater,Lindbergh,Heated stool cover for extra comfort during winter.,5:16 PM,Home,29.99
278,Self-Watering Planter,Stephen,Planter with self-watering feature for easy plant care.,7:16 AM,Garden,24.99
279,Herbal Tea Sampler Box,Red Cloud,Assorted collection of herbal teas for relaxation and wellness.,12:54 PM,Food,29.99
280,Fleece Lined Leggings,Wayridge,Comfortable and warm leggings perfect for colder weather.,10:16 AM,Clothing,29.99
281,Luxury Yoga Mat,Warner,"High-density, non-slip yoga mat for stability and comfort.",7:51 PM,Fitness,39.99
282,Blueberry Chia Jam,Lawn,"Homemade jam made with blueberries and chia seeds, no added sugar.",7:40 AM,Food - Spreads,4.99
283,Vegan Protein Powder,Onsgard,Plant-based protein powder for post-workout recovery.,7:56 AM,Health,34.99
284,Sooji (Semolina),Schmedeman,"Fine semolina flour, perfect for pasta and desserts.",7:55 AM,Food - Baking,1.99
285,Kids' Activity Book,Springview,Fun book filled with puzzles and games for kids.,8:50 PM,Books,14.99
286,Watercolor Brush Pens,Loomis,Set of brush pens for colorful and creative painting.,11:39 AM,Art Supplies,19.99
287,Pumpkin Spice Coffee,Randy,"Coffee blend infused with pumpkin spice, perfect for fall.",1:43 PM,Food - Beverages,7.99
288,Tomato Paste,Michigan,"Concentrated tomato paste, great for sauces.",10:52 AM,Food - Canned Goods,1.29
289,Classic Cheeseburger Mix,Sheridan,"All-in-one mix for easy homemade cheeseburgers, just add ground beef.",3:01 AM,Food - Meats,5.49
290,Coconut Cream Pie Mix,Clyde Gallagher,"Creamy, sweet pie mix to make the perfect coconut cream pie.",6:50 AM,Food - Baking,4.99
291,Lockable Bicycle Chain,Schmedeman,Heavy-duty chain lock for securing bicycles.,7:23 PM,Outdoor,19.99
292,Vegetable Samosas,Londonderry,Crispy pastry filled with seasoned vegetables.,10:39 PM,Food - Frozen,4.99
293,Berry Smoothie Mix,Glendale,Frozen mix for quick berry smoothies.,2:33 AM,Food - Frozen Foods,4.99
294,Wireless Earbuds Case,Rutledge,Protective case for wireless earbuds.,4:37 PM,Accessories,12.99
295,Portable Leaf Blower,Susan,Lightweight leaf blower for maintaining outdoor spaces.,4:03 PM,Outdoor,149.99
296,Habanero Hot Sauce,Surrey,Fiery hot sauce made with fresh habaneros and spices.,9:02 AM,Food - Condiments,3.79
297,Apple Cinnamon Instant Oatmeal,Cody,"Quick oatmeal packets infused with apple and cinnamon, perfect for breakfast.",3:03 AM,Food - Cereal,3.49
298,Organic Italian Seasoning,Quincy,A blend of dried herbs commonly used in Italian cooking.,2:46 AM,Food - Spices,2.99
299,Outdoor Mosquito Repellent Lantern,Rieder,Lantern that repels mosquitoes while providing light.,2:32 PM,Outdoor,34.99
300,Coconut Curry Sauce,Clove,A flavorful sauce made with coconut milk and spices.,10:15 AM,Food - Sauces,3.89
301,Frozen Berry Blend,Meadow Ridge,A mix of frozen berries for smoothies or desserts,2:14 AM,Food - Frozen Foods,4.99
302,Buffalo Chicken Dip,Mayer,"Spicy and creamy dip made with shredded chicken, perfect for parties.",9:02 PM,Food - Dips,5.99
303,Coconut Almond Granola,Manufacturers,"Crunchy granola made with oats, almonds, and coconut flakes.",2:09 AM,Food - Breakfast,4.99
304,Buffalo Cauliflower Bites,Blackbird,Spicy cauliflower bites for a vegetarian snack.,7:04 PM,Food - Freezer,6.29
305,Travel Size Toiletry Bottles,Moose,Leak-proof bottles for travel-sized toiletries.,5:03 AM,Travel,9.99
306,Compact Hair Dryer,Erie,Lightweight hair dryer with multiple speed settings.,2:51 AM,Beauty,29.99
307,Kids' Art Easel,Sundown,Double-sided art easel for painting and drawing.,5:10 PM,Toys,58.99
308,Digital Thermostat,Fuller,Programmable digital thermostat for home heating.,7:15 AM,Home,59.99
309,Puzzle Mat,Bultman,Foldable mat for jigsaw puzzle assembly.,11:04 AM,Toys,22.99
310,Dark Chocolate Almond Butter Cups,South,Rich almond butter encased in dark chocolate.,11:48 PM,Food - Snacks,4.99
311,Ice Cube Tray with Lid,Blackbird,Silicone tray for making ice cubes with a lid to prevent spills.,12:18 PM,Kitchen,10.99
312,Outdoor Inflatable Pool,Harbort,Large inflatable pool for summer fun in your backyard.,2:13 PM,Outdoor,149.99
313,Homemade Salsa,Shasta,"Fresh salsa made with tomatoes, onions, and cilantro.",9:13 PM,Food - Condiments,3.79
314,Silicone Baking Mat Set,Northridge,Non-stick and reusable mats for easy baking.,1:50 PM,Kitchen,24.99
315,Chicken Broth,Banding,"Rich and flavorful chicken broth, great for soups.",3:00 PM,Food - Canned Goods,2.49
316,Dish Soap Dispenser,Northview,Stylish dish soap dispenser with sponge holder.,6:39 AM,Kitchen,18.99
317,Caramel Sauce,Golf Course,Rich sauce for desserts and ice cream.,4:46 PM,Food - Condiments,3.49
318,Electric Rice Cooker,Bartelt,Multi-function rice cooker for all types of rice recipes.,10:38 AM,Kitchen,39.99
319,Teriyaki Beef Jerky,Pond,Savory and chewy beef jerky with teriyaki flavor.,3:08 AM,Food - Snacks,5.49
320,Coconut Curry Lentil Soup,Bluejay,"A hearty soup made with lentils, coconut milk, and a blend of spices for a tropical flavor.",10:36 PM,Food - Canned Goods,3.99
321,Scent Diffuser,Pankratz,Ultrasonic essential oil diffuser with LED lights.,10:08 PM,Home,34.99
322,Dried Cranberries,Iowa,"Sweet and tart dried cranberries, great for salads and baking.",5:52 AM,Food - Snacks,4.29
323,Puffer Winter Coat,Sunfield,A warm and stylish puffer coat perfect for winter weather.,7:26 PM,Clothing - Outerwear,99.99
324,Inflatable Pool Float,Melody,Fun inflatable float for lounging in the pool or beach.,9:18 AM,Outdoor,29.99
325,Cranberry Citrus Sauce,Prairie Rose,"A tangy sauce made with cranberries and citrus zest, perfect for turkey and chicken dishes.",5:31 PM,Food - Condiments,3.99
326,Bike Helmet,3rd,Lightweight bike helmet with adjustable fit.,5:53 PM,Bicycles,34.99
327,Energy Bites,Troy,Healthy energy bites made with oats and natural sweeteners.,6:33 PM,Food - Snacks,3.99
328,LED Flashlight with Rechargeable Batteries,Katie,Bright flashlight with rechargeable batteries included.,11:41 PM,Outdoor,19.99
329,Classic Beef Chili,Division,Hearty chili made with premium ground beef and kidney beans.,7:41 AM,Food - Canned Goods,7.99
330,Pineapple Chunks (canned),Mendota,Sweet pineapple chunks in syrup.,10:45 PM,Food - Fruits,2.29
331,Smart Air Purifier,Meadow Ridge,Filters allergens and pollutants from the air for a healthier home.,10:37 AM,Home,199.99
332,Puff Pastry,Clove,Versatile puff pastry for pies and pastries.,1:56 AM,Food - Bakery,5.49
333,Decorative LED Neon Sign,Oxford,"Bright, vibrant sign to add flair to any space.",3:33 AM,Home,45.99
334,Stainless Steel Travel Mug,Meadow Valley,Insulated mug to keep drinks hot on the go.,3:08 AM,Kitchen,19.99
335,Sporty Slide Sandals,International,Comfortable slide sandals for lounging by the pool.,10:48 AM,Clothing - Footwear,24.99
336,Ice Cream Maker,Grasskamp,Homemade ice cream maker for delicious desserts.,10:56 AM,Kitchen,79.99
337,Pet Camera with Treat Dispenser,Hayes,Monitor and interact with your pet remotely with this camera.,5:18 PM,Pets,149.99
338,Laptop Sleeve,Kropf,Padded laptop sleeve for protection against scratches.,6:09 PM,Accessories,24.99
339,Travel Makeup Organizer,Mallory,Compact organizer for cosmetics during travel.,7:57 AM,Beauty,25.99
340,Vegetable Samosas,Farragut,Crispy pastry filled with seasoned vegetables.,5:56 AM,Food - Frozen,4.99
341,Outdoor Camping Lantern,Haas,Rechargeable LED lantern ideal for camping and outdoor activities.,9:07 AM,Outdoor,34.99
342,Hummus,Merrick,"Creamy chickpea dip, perfect for veggies or pita.",12:24 PM,Food - Snacks,4.29
343,Coconut Curry Lentils,Kim,Lentils cooked in a coconut curry for a hearty meal.,3:23 PM,Food - Canned Goods,5.79
344,Heavy-Duty Utility Tote,Daystar,"Large, durable tote bag for shopping and outdoor activities.",7:26 PM,Accessories,34.99
345,DIY Candle Kit,Elgar,Everything you need to make your own scented candles at home.,9:15 AM,Crafts,34.99
346,Graphic Sweatshirt,Waxwing,A comfortable sweatshirt featuring a bold graphic print.,1:14 AM,Clothing - Tops,34.99
347,Spiced Pumpkin Soup,Alpine,"A creamy pumpkin soup with a blend of warm spices, ready to heat and serve.",9:57 PM,Food - Canned Soups,3.99
348,Handheld Garment Steamer,Helena,Quick and easy way to remove wrinkles from clothes.,3:36 AM,Home,34.99
349,Garam Masala Spice Blend,Jenna,A fragrant Indian spice blend for curries and stews.,12:43 AM,Food - Spices,2.79
350,Vegetable Samosas,Mayer,Crispy pastry filled with seasoned vegetables.,6:06 PM,Food - Frozen,4.99
351,Adjustable Resistance Bands,Autumn Leaf,Set of resistance bands for versatile strength training workouts.,4:44 PM,Fitness,39.99
352,Beef Jerky,Walton,"Savory, protein-rich beef jerky for on-the-go snacking.",12:12 PM,Food - Snacks,5.99
353,Electric Hot Water Dispenser,Nancy,Instant hot water dispenser for tea and cooking.,9:15 AM,Kitchen,59.99
354,Chocolate Dipped Fruit,Sunfield,"Fruits dipped in rich chocolate, perfect for desserts.",3:01 PM,Food - Snacks,5.99
355,Coconut Almond Granola,Blaine,"Crunchy granola made with oats, almonds, and coconut flakes.",4:52 AM,Food - Breakfast,4.99
356,Chipotle Black Bean Salad,Gale,"A zesty salad with black beans, corn, and chipotle dressing.",2:48 AM,Food - Salads,3.29
357,Maple Cinnamon Almonds,Hovde,Roasted almonds coated in a sweet maple and cinnamon mixture.,11:41 AM,Food - Nuts,4.29
358,Barbecue Chicken Pizza,Kedzie,"Pizza topped with barbecue chicken, cheese, and red onions.",7:09 AM,Food - Frozen Foods,8.99
359,Mechanical Keyboard,Gerald,High-performance mechanical keyboard with customizable RGB.,7:26 AM,Computers,99.99
360,Children's Garden Tool Set,Tomscot,Colorful and child-friendly gardening tools for little hands.,11:32 AM,Garden,22.99
361,Honey Mustard Sauce,Oxford,Creamy honey mustard sauce for dipping or dressing.,7:59 PM,Food - Condiments,3.29
362,Vegetable Curry,Waxwing,A hearty vegetable curry for a quick and satisfying meal.,7:39 PM,Food - Frozen Foods,5.99
363,Lemon Lime Sparkling Water,Kim,Refreshing sparkling water with lemon and lime flavor,5:26 PM,Food - Beverages,1.99
364,Collapsible Camping Cup,Superior,Space-saving cup that folds flat for easy storage.,4:34 PM,Outdoor,9.99
365,Safety First Aid Kit,Talisman,Comprehensive first aid kit for home or travel emergencies.,10:55 PM,Health,29.99
366,Portable Projector,Bobwhite,Compact projector for movies and presentations on the go.,5:21 PM,Electronics,199.99
367,Non-Toxic Crayons for Kids,East,Safe and vibrant crayons for children's art projects.,8:24 AM,Toys,10.99
368,Compact Digital Camera,Kenwood,High-resolution camera for stunning photos.,10:31 PM,Photography,249.99
369,Garden Hose,Riverside,Durable 50-foot garden hose with nozzle.,7:19 AM,Garden,32.99
370,Tailored Blazer,Welch,Sharp tailored blazer perfect for office wear and professional events.,1:11 PM,Clothing - Outerwear,99.99
371,Inspirational Wall Art,Eliot,Quote wall art to inspire and motivate.,1:31 AM,Home,24.99
372,Italian Meatballs,Crescent Oaks,"Juicy meatballs made with a blend of beef and pork, seasoned with Italian herbs.",12:40 AM,Food - Meat,8.49
373,Vanilla Protein Powder,Toban,A high-quality protein powder perfect for smoothies and baking.,11:08 AM,Food - Health/Protein,24.99
374,Coconut Cream Pie Yogurt,Lindbergh,"Yogurt with the flavors of coconut cream pie, nice and indulgent.",9:41 PM,Food - Dairy Alternatives,1.99
375,Smartphone Projector Kit,Lakeland,DIY kit to convert your smartphone into a mini projector.,12:07 AM,Electronics,24.99
376,Herb Seasoned Rice,Truax,A flavorful rice side dish seasoned with herbs and spices.,8:42 PM,Food - Sides,2.99
377,Oven Mitts,Veith,Silicone oven mitts for safe handling of hot cookware.,9:02 PM,Kitchen,15.99
378,Coloring Books for Adults,Bluestem,Intricate designs for adults to relax and unwind.,3:24 AM,Books,14.99
379,Honey Sesame Chicken Mix,Rowland,A meal kit featuring tender chicken with honey sesame sauce.,11:49 AM,Food - Frozen Meals,8.99
380,Cranberry Pecan Granola,Jana,Crunchy granola with cranberries and pecans.,5:39 PM,Food - Breakfast Foods,3.99
381,Tomato Basil Soup,Golf,"A classic soup combining tomatoes and basil, great with grilled cheese sandwiches.",6:02 AM,Food - Canned Goods,3.49
382,Feta Cheese Crumbles,Lillian,"Crumbled feta cheese, perfect for salads and Mediterranean dishes.",6:15 AM,Food - Dairy,2.49
383,Comfort Flats,Independence,Everyday flats that combine comfort and style.,5:41 PM,Clothing - Shoes,44.99
384,Basil Tomato Soup,Badeau,"Rich tomato soup flavored with fresh basil, ready to heat up.",6:44 AM,Food - Canned Soups,2.99
385,Electric Ice Cream Maker,Morning,Make delicious ice cream at home with this user-friendly machine.,8:29 PM,Kitchen,59.99
386,Stick Vacuums Cleaner,Pepper Wood,Cordless vacuum cleaner for quick clean-ups.,6:10 AM,Home Appliances,129.99
387,Compact Digital Camera,Holy Cross,High-resolution camera for stunning photos.,1:16 PM,Photography,249.99
388,Dog Waste Bag Dispenser,Paget,Convenient dispenser for dog waste bags on walks.,6:23 AM,Pets,6.99
389,Coconut Flakes,Artisan,Unsweetened coconut flakes for baking and topping.,4:27 PM,Food - Baking,3.29
390,Chicken Broth,Oriole,"Rich and flavorful chicken broth, great for soups.",10:14 PM,Food - Canned Goods,2.49
391,Pasta Maker Machine,John Wall,Manual pasta maker for creating fresh pasta at home.,2:06 AM,Kitchen,59.99
392,Classic Pumps,Boyd,Elegant classic pumps that add sophistication to any outfit.,3:19 PM,Clothing - Footwear,64.99
393,Cordless Water Flosser,Corscot,Rechargeable water flosser for dental hygiene.,1:41 AM,Health,49.99
394,Herbal Garden Starter Kit,Dovetail,Indoor gardening kit with herbs and pots.,5:00 AM,Garden,24.99
395,Portable Pet Water Bottle,Sycamore,Travel-friendly water bottle for pets on the go.,5:37 AM,Pets,18.99
396,Peanut Butter Cookies,Basil,Soft and chewy cookies made with creamy peanut butter.,4:34 PM,Food - Bakery,3.49
397,Sliced Olives,Stone Corner,"Pitted black olives, perfect for salads and pizzas.",6:26 AM,Food - Condiments,1.99
398,Basil Tomato Soup,Crownhardt,"Rich tomato soup flavored with fresh basil, ready to heat up.",8:18 AM,Food - Canned Soups,2.99
399,Lemon Lime Sparkling Water,Jana,Refreshing sparkling water with lemon and lime flavor,11:52 AM,Food - Beverages,1.99
400,Pet Reflective Vest,Vahlen,Safety vest for pets during nighttime walks.,5:03 AM,Pets,18.99
401,Honey Graham Crackers,8th,Sweet and crunchy honey-flavored graham crackers.,3:37 AM,Food - Snacks,3.29
402,Egg Noodles,Onsgard,"Wide egg noodles, perfect for casseroles and soups.",6:21 AM,Food - Grains,2.29
403,Wireless Smart Plug,High Crossing,Control home appliances remotely using your smartphone app.,3:45 PM,Smart Home,19.99
404,Spicy Vegetable Sushi Rolls,Warner,Vegan sushi filled with spicy vegetables and avocado.,3:37 PM,Food - Prepared Foods,8.49
405,Mini Projector,3rd,Portable projector with 1080p resolution for movies.,8:18 PM,Electronics,169.99
406,Multi-Function Smartphone Holder,Messerschmidt,"Versatile holder that can be used on desks, cars, and more.",2:50 AM,Electronics,12.99
407,Salsa Verde,Brickson Park,"Tangy green salsa made with tomatillos, perfect for tacos.",2:56 PM,Food - Condiments,3.49
408,Ginger Turmeric Latte Mix,Hudson,A warming blend of ginger and turmeric for lattes.,1:18 PM,Food - Beverages,5.29
409,Pet Travel Carrier,Golf Course,Comfortable carrier for small pets during travel.,11:56 AM,Pets,39.99
410,Training Soccer Ball,Saint Paul,Durable training soccer ball for practice.,2:33 PM,Sports,19.99
411,Pet Caress Brush,Manufacturers,Gentle brush for removing loose fur from pets.,1:28 PM,Pets,12.99
412,Dried Apricots,Leroy,"Sweet, chewy dried apricots, great for snacking or baking.",12:44 PM,Food - Dried Fruits,3.79
413,Stylish Wide-Leg Trousers,Redwing,Fashionable wide-leg trousers for a chic silhouette.,7:40 PM,Clothing - Bottoms,59.99
414,Peach Green Tea,Dexter,"Refreshing green tea infused with peach, perfect for a hot day.",11:40 PM,Food - Beverages,3.49
415,Fitness Jump Rope,Sugar,Durable jump rope for cardio workouts.,6:45 AM,Fitness,15.99
416,Mechanical Keyboard,Hovde,High-performance mechanical keyboard with customizable RGB.,1:59 PM,Computers,99.99
417,Smart Water Bottle with Hydration Reminder,Straubel,Bottle that tracks your water intake and reminds you to drink.,3:14 PM,Fitness,39.99
418,Customizable Name Plate,Valley Edge,Personalized nameplate for offices or homes.,11:30 PM,Office,19.99
419,Cinnamon Ice Cream,Spohn,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert.",9:02 PM,Food - Frozen Desserts,4.99
420,Inspirational Wall Art,Linden,Quote wall art to inspire and motivate.,7:11 AM,Home,24.99
421,Pasta Maker Machine,Stuart,Manual pasta maker for creating fresh pasta at home.,6:39 AM,Kitchen,59.99
422,Fashionable Belt Bag,Acker,Trendy belt bag for hands-free carrying.,5:50 AM,Accessories,34.99
423,Pumpkin Pancake Mix,Sundown,Easy-to-make pancake mix with pumpkin spice flavor.,7:57 AM,Food - Breakfast,4.19
424,Maple Chipotle Glaze,Judy,A sweet and spicy glaze that's perfect for grilling or marinades.,12:02 AM,Food - Condiments,3.49
425,Aeropress Coffee Maker,Aberg,Portable coffee maker for rich brews on the go.,3:29 PM,Kitchen,29.99
426,Microfiber Cleaning Cloths,Eagan,Pack of ultra-soft microfiber cloths for cleaning.,1:50 AM,Home,9.99
427,Dishwasher Safe Cutting Board,Erie,Eco-friendly cutting board that is safe for dishwashers.,12:48 AM,Kitchen,22.99
428,Cilantro Lime Rice,Eliot,"Easy-to-prepare rice with cilantro and lime flavors, great as a side.",4:11 PM,Food - Grains,2.99
429,Plant Pot Drip Trays,Randy,Prevent water damage with drip trays for potted plants.,10:59 AM,Garden,9.99
430,Olive Oil,Holy Cross,"Extra virgin olive oil, ideal for cooking and salads.",5:18 PM,Food - Condiments,7.99
431,Mango Sticky Rice Dessert,Michigan,Sweetened sticky rice served with fresh mango and coconut sauce.,3:02 PM,Food - Frozen Desserts,4.5
432,Biodegradable Phone Case,Vermont,Eco-friendly phone case designed to decompose safely.,10:35 AM,Accessories,23.99
433,Blueberry Muffin Mix,Kensington,Make delightful blueberry muffins at home with this easy mix.,6:11 AM,Food - Baking,4.29
434,Multifunctional Pocket Tool,Armistice,Compact pocket tool with various built-in functions.,5:59 PM,Tools,19.99
435,Suction Cup Hooks,Annamark,Reusable suction cup hooks for hanging items.,7:40 AM,Home,9.99
436,Coconut Yogurt,Dorton,"Creamy yogurt made from coconut milk, dairy-free and delicious.",12:27 AM,Food - Dairy Alternatives,3.89
437,Ice Pack,Summerview,Reusable gel ice pack for injuries and cooling.,2:12 AM,Health,8.99
438,Comfort Flats,Green,Everyday flats that combine comfort and style.,10:42 AM,Clothing - Shoes,44.99
439,BBQ Sauce,Heffernan,"A smoky barbecue sauce, ideal for grilling and dipping.",9:21 PM,Food - Condiments,3.49
440,Cooking Utensil Set,Burning Wood,Complete set of cooking utensils made from bamboo.,8:53 PM,Kitchen,24.99
441,Siphon Coffee Maker,Thierer,Unique coffee brewing method for a flavorful experience.,9:29 PM,Kitchen,49.99
442,Pistachio Ice Cream,Arizona,Creamy pistachio-flavored ice cream with real nuts.,8:51 AM,Food - Frozen Desserts,4.99
443,Essential White Button-Up,Bellgrove,A classic white button-up shirt for a polished appearance.,5:14 AM,Clothing - Shirts,44.99
444,Outdoor Sports Backpack,Lukken,Durable backpack designed for hiking and outdoor excursions.,8:55 PM,Outdoor,49.99
445,Bluetooth Sleep Headphones,Loeprich,Comfortable wireless headphones designed for sleeping.,6:16 AM,Audio,29.99
446,Fresh Strawberries,Grasskamp,"Sweet and juicy strawberries, perfect for desserts.",12:15 PM,Food - Produce,3.99
447,USB Wall Charger,Forster,Multiple USB ports for charging devices simultaneously.,5:05 AM,Accessories,19.99
448,Portable Charger with Solar Panel,Bunting,Eco-friendly charger with a built-in solar panel for outdoor use.,11:56 PM,Electronics,45.99
449,Herbal Garden Starter Kit,Brickson Park,Indoor gardening kit with herbs and pots.,6:31 AM,Garden,24.99
450,Safety First Aid Kit,Ruskin,Comprehensive first aid kit for home or travel emergencies.,1:23 PM,Health,29.99
451,Car Emergency Kit,Muir,Comprehensive emergency kit for roadside assistance.,12:07 PM,Automotive,49.99
452,Vegetable Lasagna,7th,"Layers of pasta, veggies, and cheese baked to perfection.",11:56 PM,Food - Frozen Foods,6.99
453,Premium Flashlight,Forest,High-intensity flashlight with adjustable focus and brightness.,12:13 AM,Outdoor,19.99
454,Herbal Tea Set,Randy,Assorted herbal tea bags for relaxation and wellness.,2:48 PM,Food,19.99
455,Sriracha Hot Chili Sauce,Spaight,Spicy and tangy chili sauce for adding heat to any dish.,2:01 PM,Food - Condiments,2.99
456,Rustic Italian Breads,Burrows,Freshly baked artisan bread with a crisp crust and soft center.,5:02 PM,Food - Bakery,3.99
457,Peanut Butter Pretzel Nuggets,Starling,Crunchy pretzel nuggets filled with creamy peanut butter.,9:53 AM,Food - Snacks,3.29
458,Nutty Granola Clusters,Knutson,Crunchy granola clusters mixed with nuts and honey.,3:21 AM,Food - Cereal,2.49
459,Californian Raisins,Swallow,"Sweet dried raisins, perfect for snacks or baking.",9:40 PM,Food - Dried Fruits,3.19
460,Organic Sweet Potatoes,Elka,"Fresh and organic sweet potatoes, ideal for roasting.",3:35 AM,Food - Produce,1.99
461,Bluetooth Tracker,Bobwhite,Smart tracker to locate keys or other items via app.,7:36 PM,Accessories,19.99
462,Smoky BBQ Jackfruit,American,Pulled jackfruit in a smoky BBQ sauce for a tasty vegan dish.,2:35 PM,Food - Grocery,4.99
463,Bluetooth Shower Speaker,Sage,Water-resistant Bluetooth speaker for showers.,3:15 AM,Audio,24.99
464,Kids' Dinosaur-Themed Lunchbox,David,Fun lunchbox for kids with a sturdy design.,11:00 AM,Accessories,19.99
465,Customizable Name Plate,Warner,Personalized nameplate for offices or homes.,11:18 AM,Office,19.99
466,Italian Marinara Sauce,Schiller,"Classic marinara sauce for pasta, pizza, or dipping.",1:28 AM,Food - Sauces,3.29
467,Ripped Boyfriend Jeans,Maple,"Stylish ripped boyfriend jeans for a relaxed, effortlessly cool vibe.",4:48 PM,Clothing - Bottoms,54.99
468,Field Journal,Sugar,Durable journal for nature observations and notes.,5:42 PM,Books,14.99
469,Computer Monitor Stand,Rieder,Ergonomic monitor stand for improved workspace organization.,5:48 AM,Office,29.99
470,Chocolate Fudge Ice Cream,Loomis,Rich and creamy chocolate fudge ice cream for dessert.,10:15 AM,Food - Frozen Desserts,5.99
471,LED Table Lamp,Kinsman,Modern LED table lamp with touch control.,10:48 PM,Home,29.99
472,Pet Hair Removal Roller,Summit,Lint roller designed specifically for removing pet hair from furniture.,3:43 PM,Pets,10.99
