review_id,customer_id,attradtion_id,rating,comment,review_date
382,382,382,4,Crispy and delicious biscotti flavored with cranberry and almond.,6/14/2025
383,383,383,67,Ready-to-bake cookie dough packed with chocolate chips.,5/19/2025
384,384,384,53,A colorful printed maxi skirt for a bohemian look.,7/29/2025
385,385,385,66,"Refreshing green tea infused with peach, perfect for a hot day.",5/26/2025
386,386,386,27,A delicious chicken dish featuring honey and sesame flavors.,1/26/2026
387,387,387,49,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",5/21/2025
388,388,388,20,Universal mount for smartphones on motorcycles.,1/26/2026
389,389,389,41,Organizational cubes for easy packing and travel.,6/29/2025
390,390,390,91,Rich chocolate protein powder for smoothies and baking.,2/24/2026
391,391,391,54,A warm knitted scarf to keep you cozy in winter.,8/5/2025
392,392,392,39,Bluetooth thermometer that alerts you when your meat is done.,3/30/2025
393,393,393,29,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce.",12/19/2025
394,394,394,79,"Fresh, creamy avocados ideal for salads and guacamole.",6/10/2025
395,395,395,96,Educational robotics kit for building and programming.,6/14/2025
396,396,396,20,Comfortable hiking boots for outdoor adventures.,8/23/2025
397,397,397,85,A sweet and spicy sauce for dipping or cooking.,9/22/2025
398,398,398,91,Compact projector for movies and presentations on the go.,5/12/2025
399,399,399,55,Yoga socks designed to provide better grip and stability.,3/20/2026
400,400,400,36,"Crispy and chewy granola bars, perfect for on-the-go.",11/30/2025
401,401,401,82,High-carbon stainless steel chef knife for precision cutting.,11/10/2025
402,402,402,12,Trendy belt bag for hands-free carrying.,1/25/2026
403,403,403,28,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",9/19/2025
404,404,404,89,"Floral and refreshing herbal tea, great hot or iced.",9/28/2025
405,405,405,43,"Creamy dip made with caramelized onions, perfect for chips or veggies.",5/23/2025
406,406,406,56,Inspiring cookbook with healthy recipes.,5/3/2025
407,407,407,80,Fresh pre-cut carrot and celery sticks for easy snacking.,5/29/2025
408,408,408,82,USB hub for expanding ports on computers and laptops.,11/26/2025
409,409,409,63,Challenging and fun puzzle game for all ages.,1/14/2026
410,410,410,58,Eco-friendly sealer for protecting concrete surfaces.,3/9/2026
411,411,411,7,Blender for smoothies with a portable cup.,8/16/2025
412,412,412,41,32GB USB flash drive with fast data transfer speeds.,1/25/2026
413,413,413,64,A convenient powder mix combining greens and fruits for smoothies.,12/13/2025
414,414,414,82,Crunchy pretzel bites filled with peanut butter,3/28/2026
415,415,415,80,"Classic marinara sauce for pasta, pizza, or dipping.",6/6/2025
416,416,416,32,"Soft pretzel bites, perfect for dipping in mustard or cheese sauce.",1/16/2026
417,417,417,23,Lightweight leaf blower for maintaining outdoor spaces.,3/20/2026
418,418,418,2,Rich basil pesto sauce for pasta and more.,9/30/2025
419,419,419,65,Plant-based mix for a rich chocolate cake.,5/30/2025
420,420,420,97,"Creamy ranch dressing, perfect for salads and dips.",8/5/2025
421,421,421,51,Pure maple syrup for pancakes and more.,7/21/2025
422,422,422,98,A sweet and spicy sauce for dipping or cooking.,1/28/2026
423,423,423,23,"Crunchy roasted pumpkin seeds, great for snacking.",3/31/2025
424,424,424,32,"Crispy sweet potato bites, delicious as a side or snack.",6/30/2025
425,425,425,73,Fluffy pancakes with buttermilk flavor.,1/19/2026
426,426,426,31,Instant mix for creamy vanilla pudding.,7/2/2025
427,427,427,26,Automatically cooks eggs to your desired level.,7/23/2025
428,428,428,58,Convenient belt with pockets for easy access to tools while gardening.,2/21/2026
429,429,429,68,Spicy buffalo sauce ideal for wings or dipping.,2/11/2026
430,430,430,10,Savory sauce for vegetable and meat stir-fries.,10/31/2025
431,431,431,39,A tailored slim fit shirt for a polished look at work.,7/4/2025
432,432,432,50,Savory teriyaki sauce for stir-frying veggies or meats.,4/27/2025
433,433,433,57,Durable and soft frisbee designed for dogs to play with.,10/7/2025
434,434,434,57,"Fresh and organic sweet potatoes, ideal for roasting.",1/3/2026
435,435,435,49,Extra virgin olive oil infused with fresh basil.,1/15/2026
436,436,436,24,"Ready-to-eat salad with kale, lemon, and cheese.",4/19/2025
437,437,437,28,"Low-carb zucchini noodles, perfect for a healthy alternative to pasta.",11/14/2025
438,438,438,38,Energy-efficient window air conditioner for cooling.,1/8/2026
439,439,439,15,Crunchy pretzel sticks made with honey and whole wheat.,5/13/2025
440,440,440,81,Durable speaker designed for outdoor use with water resistance.,6/23/2025
441,441,441,37,Light and fluffy popcorn coated in aged white cheddar.,10/15/2025
442,442,442,28,Versatile chair that easily folds up for carrying.,8/27/2025
443,443,443,7,A bright and zesty dressing perfect for salads and tacos.,9/2/2025
444,444,444,31,Moisturizing body wash with natural ingredients.,9/23/2025
445,445,445,6,Add a pop of color with this stylish patterned knit scarf.,12/5/2025
446,446,446,98,"Classic A-line skirt that flatters every figure, perfect for work or play.",4/17/2025
447,447,447,84,Passive noise reduction headphones for focus.,3/27/2026
448,448,448,16,Accurate stopwatch for timing events and workouts.,3/6/2026
449,449,449,88,Sweetened sticky rice served with fresh mango and coconut sauce.,8/20/2025
450,450,450,69,Borosilicate glass water bottle with silicone sleeve.,7/4/2025
451,451,451,47,Non-stick utensils for safe and easy cooking.,2/23/2026
452,452,452,18,"A smoky barbecue sauce, ideal for grilling and dipping.",11/17/2025
453,453,453,25,Creamy mayonnaise made with avocado oil for a healthier twist.,9/23/2025
454,454,454,20,Hearty tomato soup made from organic ingredients.,8/28/2025
455,455,455,26,Monthly subscription for freshly roasted coffee delivered to your door.,2/21/2026
456,456,456,21,Complete set of gardening tools for all your needs.,9/1/2025
457,457,457,26,All-in-one kit for growing herbs in your kitchen.,4/17/2025
458,458,458,59,Juicy raisins coated in rich dark chocolate.,12/28/2025
459,459,459,68,"Rich chocolate cups filled with almond butter, a delicious treat.",7/29/2025
460,460,460,96,Windshield sunshade for car interior protection.,7/9/2025
461,461,461,32,A nourishing bowl of sweet potatoes and chickpeas with spices.,8/30/2025
462,462,462,15,Personal massager for muscle recovery.,12/30/2025
463,463,463,42,High-quality voice recorder for lectures and meetings.,1/4/2026
464,464,464,23,"Pitted black olives, perfect for salads and pizzas.",10/9/2025
465,465,465,5,"Crumbled feta cheese, perfect for salads and Mediterranean dishes.",4/17/2025
466,466,466,25,"Heavy-duty rope suitable for boating, camping, and general use.",12/12/2025
467,467,467,38,Airtight container to keep pet food fresh.,1/25/2026
468,468,468,46,A classic white button-up shirt for a polished appearance.,11/4/2025
469,469,469,74,Traditional basil pesto made with extra virgin olive oil.,9/8/2025
470,470,470,50,Safe and fun trampoline for children.,10/28/2025
471,471,471,20,"A fresh salad made with black beans, corn, and a zesty dressing, great for summer cookouts.",12/19/2025
472,472,472,10,"Rich tomato soup flavored with fresh basil, ready to heat up.",9/11/2025
473,473,473,34,Space-saving bike for indoor workouts.,6/11/2025
474,474,474,41,Easy-to-use tiebacks for curtains or drapes.,4/3/2025
475,475,475,96,Foldable reclining camping chair with cup holder.,11/6/2025
476,476,476,5,Rich almond butter encased in dark chocolate.,6/6/2025
477,477,477,97,Hearty tomato soup made from organic ingredients.,11/14/2025
478,478,478,82,"Light and crispy baked chips, a healthier snack option.",4/4/2025
479,479,479,72,Natural energy bites packed with fruits and nuts for a perfect snack.,7/11/2025
480,480,480,16,All-natural skincare set for daily use.,1/4/2026
481,481,481,76,Soft cookies made with almond butter,11/1/2025
482,482,482,76,Complete set of cooking utensils made from bamboo.,5/20/2025
483,483,483,45,Space-saving collapsible bottle for outdoor activities.,11/27/2025
484,484,484,26,Advanced wristband that tracks daily activities and sleep.,9/20/2025
485,485,485,45,Juicy and tender boneless chicken breasts.,5/20/2025
486,486,486,70,Convenient carrier for transporting yoga mat.,1/30/2026
487,487,487,41,"Whole wheat wraps filled with spinach, feta, and herbs.",4/13/2025
488,488,488,65,Leak-proof bottles for travel-sized toiletries.,6/17/2025
489,489,489,71,Training tool for reinforcing commands and behavior in dogs.,9/6/2025
490,490,490,85,Set with various resistance bands for workouts.,5/1/2025
491,491,491,49,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",10/26/2025
492,492,492,12,"Rich and creamy dressing with garlic flavor, perfect for salads.",2/16/2026
493,493,493,43,"Spicy jalapenos stuffed with cheese, ideal for appetizers.",9/9/2025
494,494,494,51,Boost your Wi-Fi signal for better coverage.,11/29/2025
495,495,495,16,"Hearty beef stew with vegetables, ready to heat and serve.",6/15/2025
496,496,496,26,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners.",10/15/2025
497,497,497,80,Pack of ultra-soft microfiber cloths for cleaning.,10/30/2025
498,498,498,77,Portable induction cooktop for quick heating.,4/20/2025
499,499,499,28,A sweet and spicy sauce for dipping or glazing.,6/10/2025
500,500,500,68,Stay hydrated with refreshing flavored water.,10/22/2025
